,Variable,train,test
0,AreaShape_Zernike_8_2,0.5060563593329162,0.5104357099329677
1,AreaShape_Zernike_4_0,0.525138899620027,0.5218616697135893
2,AreaShape_NormalizedMoment_3_3,0.48893473714757285,0.4786715417428397
3,AreaShape_HuMoment_1,0.5395562024466994,0.5407525898842169
4,AreaShape_Zernike_6_6,0.49535283800817986,0.49657221206581353
5,Neighbors_NumberOfNeighbors_8,0.6271236607993036,0.627132845825716
6,Neighbors_PercentTouching_8,0.5569436352259434,0.5614716636197441
7,Neighbors_SecondClosestDistance_8,0.5331758993751757,0.5366392443631932
8,Neighbors_FirstClosestDistance_8,0.47057527364402246,0.475091407678245
9,AreaShape_Zernike_3_1,0.5386796274632497,0.5413619744058501
10,AreaShape_Orientation,0.49836211878009634,0.5030469226081657
11,AreaShape_CentralMoment_1_3,0.5056753162662894,0.5117306520414382
12,AreaShape_InertiaTensor_0_1,0.501294966038215,0.49916209628275443
13,AreaShape_InertiaTensor_1_0,0.5059607403578457,0.5084552102376599
14,AreaShape_NormalizedMoment_1_2,0.4924393684649636,0.49466788543570994
15,AreaShape_NormalizedMoment_3_2,0.49601976584958873,0.49367763558805605
16,AreaShape_CentralMoment_1_1,0.503904283084401,0.512720901889092
17,AreaShape_Extent,0.5207017039838217,0.527498476538696
18,AreaShape_NormalizedMoment_2_2,0.5358228872505011,0.5345063985374772
19,AreaShape_NormalizedMoment_3_0,0.49480067832884445,0.48148994515539306
